fnoip,fnoea,ntoip,ntoea,enoip,enoea,efnoip,efnoea,etoip,etoea,entoip,entoea,canip,canea
0.39441392354080734,0.7016425244396864,0.41858888721651377,0.1522751429631824,0.4274232356475518,0.13863225905227494,0.4060265651168221,0.13906971600314644,0.40169947311306325,0.2713962988228531,0.4169380391796934,0.15404440045588685,0.4214417555605898,0.13742533760676248
0.37242764806196005,0.6824707132768091,0.3928028231878492,0.15169288823187954,0.42709922990204374,0.1371538932542853,0.389740971985475,0.13970792036421753,0.38681737933527366,0.2706486912555157,0.3915399095377885,0.1515005546762962,0.40830770176097797,0.13591461848530528
0.375945533522024,0.6649246213255787,0.37566436509029133,0.1509494754941882,0.42706032809639305,0.13570216189026274,0.3875687198953614,0.14003948215422524,0.37657099850273507,0.2709950979174953,0.374953575413445,0.14911354652130737,0.3976060594117534,0.1341759491265906
0.37475566027061813,0.6589334916993643,0.37139457760752026,0.14213010677053162,0.4270902162664356,0.13086225078839808,0.38941357182762015,0.14012624509924554,0.37620763991062983,0.2707726846238203,0.3709097079214421,0.14868725266671057,0.39736496650076103,0.131865559407726
0.37522467694857164,0.6503322648093027,0.3750022018024173,0.14204330925606573,0.42703765407754446,0.1298700059218496,0.38950733791679926,0.13591251657630465,0.3769321786189215,0.27075315131195454,0.37036558817761256,0.14870516890329388,0.3973166538272843,0.12969502074596084
0.3756263536219433,0.6475028765500617,0.37648638468140927,0.13449155792791578,0.42698725616623756,0.12987498012379395,0.38986029439713343,0.13343926880899648,0.3770761713728996,0.25524292847791025,0.37303054583881856,0.14450357436178307,0.3899587014783311,0.12879686836405024
0.3764682989617959,0.6440146795587922,0.376812267848019,0.1320309971530324,0.4269557240352655,0.12989742857507625,0.391269115375096,0.13090732443000963,0.37707469651579517,0.2525458576197779,0.3728902054188445,0.13586289629728865,0.38790474443017275,0.12650471440042077
0.3814041211748711,0.6436346224215798,0.3770135305429245,0.13089028338041203,0.426947847248071,0.12987454825421096,0.3926827564937274,0.12948273548071398,0.3772246531617274,0.2494276832750714,0.3730783038023171,0.13488174007662873,0.3840207607736537,0.12534386216620752
0.3862673555196787,0.639647830323757,0.3773736989507226,0.13018075452822558,0.4269440848054489,0.1298680051951382,0.3956356815005382,0.12809320328392682,0.3771756425014887,0.24103232401455074,0.37321366717858684,0.13354430468743747,0.3806021592391491,0.12409933048436872
0.3868512943962288,0.6363864131429531,0.37704459104282595,0.12869491036015962,0.42677109284447035,0.12916024583990637,0.3962289550682172,0.126653465665294,0.37823058218288486,0.2409657470439554,0.3740158034510661,0.13225310935266033,0.37865998095754005,0.12312659734287229
0.3876515149413376,0.6345799919153454,0.37712622162689646,0.1275186138862594,0.4265981507061545,0.1291366629488041,0.3970611850632273,0.1246775301666232,0.37994066536961,0.2396592210032643,0.37564782210694947,0.13095650600261824,0.377066908265697,0.1222082536838851
0.3884571829311443,0.5645666273281833,0.378325077452767,0.12533516952536533,0.42660317585716934,0.12910509677419402,0.39791286681392624,0.12271641842037573,0.38094358122467753,0.23701766011776093,0.37630653054218866,0.12464449765535626,0.37759711035185495,0.12012084565926973
0.3886881823759918,0.5632326641502003,0.3784603550377804,0.1251137024430491,0.42665905103568225,0.1288057048939688,0.3981909781947599,0.12248436680615837,0.3810872686853797,0.2367987385651824,0.3764512585417155,0.12440633997671327,0.377790002858434,0.11984706985791993
